ds,y
2017/7/20,1702
2017/7/21,1729
2017/7/22,1807
2017/7/23,1625
2017/7/24,1743
2017/7/25,1641
2017/7/26,1801
2017/7/27,1767
2017/7/28,1798
2017/7/29,1673
2017/7/30,1836
2017/7/31,1669
2017/8/1,1710
2017/8/2,1827
2017/8/3,1656
2017/8/4,1618
2017/8/5,1800
2017/8/6,1657
2017/8/7,1797
2017/8/8,1704
2017/8/9,1683
2017/8/10,1815
2017/8/11,1775
2017/8/12,1636
2017/8/13,1647
2017/8/14,1747
2017/8/15,1675
2017/8/16,1645
2017/8/17,1783
2017/8/18,1770
2017/8/19,1802
2017/8/20,1661
2017/8/21,1636
2017/8/22,1672
2017/8/23,1810
2017/8/24,1712
2017/8/25,1766
2017/8/26,1742
2017/8/27,1806
2017/8/28,1792
2017/8/29,1588
2017/8/30,1656
2017/8/31,1550
2017/9/1,1530
2017/9/2,1739
2017/9/3,1586
2017/9/4,1595
2017/9/5,1722
2017/9/6,1733
2017/9/7,1763
2017/9/8,1626
2017/9/9,1662
2017/9/10,1667
2017/9/11,1603
2017/9/12,1698
2017/9/13,1685
2017/9/14,1589
2017/9/15,1575
2017/9/16,1652
2017/9/17,1689
2017/9/18,1704
2017/9/19,1559
2017/9/20,1645
2017/9/21,1650
2017/9/22,1457
2017/9/23,1465
2017/9/24,1478
2017/9/25,1560
2017/9/26,1714
2017/9/27,1532
2017/9/28,1435
2017/9/29,1537
2017/9/30,1593
2017/10/1,1507
2017/10/2,1442
2017/10/3,1424
2017/10/4,1380
2017/10/5,1530
2017/10/6,1527
2017/10/7,1509
2017/10/8,1396
2017/10/9,1573
2017/10/10,1455
2017/10/11,1451
2017/10/12,1483
2017/10/13,1536
2017/10/14,1560
2017/10/15,1443
2017/10/16,1406
2017/10/17,1372
2017/10/18,1548
2017/10/19,1451
2017/10/20,1371
2017/10/21,1433
2017/10/22,1349
2017/10/23,1410
2017/10/24,1328
2017/10/25,1362
2017/10/26,1342
2017/10/27,1307
2017/10/28,1451
2017/10/29,1368
2017/10/30,1298
2017/10/31,1480
2017/11/1,1490
2017/11/2,1344
2017/11/3,1417
2017/11/4,1399
2017/11/5,1424
2017/11/6,1563
2017/11/7,1557
2017/11/8,1533
2017/11/9,1547
2017/11/10,1567
2017/11/11,1468
2017/11/12,1478
2017/11/13,1471
2017/11/14,1502
2017/11/15,1511
2017/11/16,1549
2017/11/17,1460
2017/11/18,1416
2017/11/19,1398
2017/11/20,1364
2017/11/21,1361
2017/11/22,1376
2017/11/23,1377
2017/11/24,1374
2017/11/25,1366
2017/11/26,1379
2017/11/27,1394
2017/11/28,1413
2017/11/29,1415
2017/11/30,1424
2017/12/1,1454
2017/12/2,1398
2017/12/3,1362
2017/12/4,1359
2017/12/5,1367
2017/12/6,1341
2017/12/7,1326
2017/12/8,1337
2017/12/9,1320
2017/12/10,1317
2017/12/11,1320
2017/12/12,1296
2017/12/13,1294
2017/12/14,1280
2017/12/15,1300
2017/12/16,1322
2017/12/17,1320
2017/12/18,1297
2017/12/19,1316
2017/12/20,1339
2017/12/21,1333
2017/12/22,1365
2017/12/23,1380
2017/12/24,1378
2017/12/25,1367
2017/12/26,1366
2017/12/27,1457
2017/12/28,1438
2017/12/29,1556
2017/12/30,1560
2017/12/31,1559
